record_id,sample,HH_ID,PERSON_NUM,mode,o_taz,d_taz,restore_average_min,cut_average_min,delta_min,TOUR_TYPE,TOUR_NUM,TRIP_NUM,O_LOC_TYPE,D_LOC_TYPE,ACTIV1,PARTY,MODE,MODE_AGG,TripFactor,CompositeWeight,P_WEIGHT,P_TOT_TRIPS,GEND,AGECAT,RACE,EDUCA,LIC,EMPLY,WK_STAT,JOBS,HOURS,OCCUP,WK_MODE,TCOMM,PARK_SUB,TRAN_SUB,STUDE,T_TRIP,TAP,HH_WEIGHT,H_COUNTY,H_TAZ,A_TYPE,HH_SIZE,HH_WORK,TOT_VEH,OP_VEH,TOT_BIKE,CAR_SHARE,RES_TYPE,INCOME,female,age_cat,age_65plus,race_cat,college_deg,has_license,employed,student,transit_trips_wk,transit_subsidy,income_k,low_income,hh_size,hh_workers,hh_vehicles,area_type,work_tour,home_based,zero_veh_hh,veh_per_adult
2064720202,"bus_subway_trolley",206472,2,"Bus / trolleybus",403,142,14.479,16.637,2.158,1,1,2,2,1,5,NA,14,5,1.17,103.2300583,88.23081906,2,1,9,988,6,1,1,NA,1,35,21,4,0,8,2,3,11,NA,202.8848881,42101,142,3,2,1,0,0,1,1,2,5,0,9,0,NA,1,1,1,0,11,0,62.5,0,2,1,0,"urban",1,1,1,0
2118520101,"bus_subway_trolley",211852,1,"Subway / El",1605,1018,46.65,51.15,4.5,1,1,1,1,2,1,NA,21,5,1.17,235.6297128,201.3929169,2,2,8,988,4,1,1,NA,2,40,21,4,0,8,1,3,10,NA,170.33356,42101,1605,3,1,1,1,1,0,2,2,4,1,8,0,NA,0,1,1,0,10,1,42.5,0,1,1,1,"urban",1,1,0,1
2118520102,"bus_subway_trolley",211852,1,"Subway / El",1018,1605,44.117,44.617,0.5,1,1,2,2,1,5,NA,21,5,1.17,235.6297128,201.3929169,2,2,8,988,4,1,1,NA,2,40,21,4,0,8,1,3,10,NA,170.33356,42101,1605,3,1,1,1,1,0,2,2,4,1,8,0,NA,0,1,1,0,10,1,42.5,0,1,1,1,"urban",1,1,0,1
2297970201,"bus_subway_trolley",229797,2,"Bus / trolleybus",27,1030,17.408,19.273,1.865,1,1,1,1,2,1,NA,14,5,1.15,113.0168129,98.27548944,2,2,8,988,6,1,1,NA,1,40,11,6,0,2,2,3,5,NA,110.80041,42101,27,3,3,2,1,1,1,1,2,8,1,8,0,NA,1,1,1,0,5,0,175,0,3,2,1,"urban",1,1,0,0.333333333333333
2350960102,"bus_subway_trolley",235096,1,"Subway / El",1030,1037,10.517,13.017,2.5,1,1,2,4,4,5,NA,21,5,1.12,99.77449015,89.08436621,5,2,9,988,6,1,1,NA,1,45,29,5,0,8,1,3,8,NA,132.4337962,42101,2424,3,2,2,0,0,3,1,1,6,1,9,0,NA,1,1,1,0,8,1,87.5,0,2,2,0,"urban",1,1,1,0
2350960104,"bus_subway_trolley",235096,1,"Trolley / light rail",1035,1016,23.458,26.554,3.096,1,1,4,2,4,5,NA,23,5,1.12,99.77449015,89.08436621,5,2,9,988,6,1,1,NA,1,45,29,5,0,8,1,3,8,NA,132.4337962,42101,2424,3,2,2,0,0,3,1,1,6,1,9,0,NA,1,1,1,0,8,1,87.5,0,2,2,0,"urban",1,1,1,0
2428050101,"bus_subway_trolley",242805,1,"Bus / trolleybus",14618,14613,32.683,32.683,0,1,1,1,1,4,1,NA,14,5,1.17,3986.241065,3407.043646,4,2,8,1,3,2,1,NA,2,10,41,6,0,2,2,2,6,NA,303.4396083,42017,14618,3,1,1,0,0,1,2,4,3,1,8,0,"white",0,0,1,1,6,0,30,1,1,1,0,"urban",1,1,1,0
2435040101,"bus_subway_trolley",243504,1,"Bus / trolleybus",47,48,13.735,9.044,-4.692,2,1,1,1,4,1,NA,14,5,1.17,106.9764022,91.43282236,3,2,10,988,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,12,NA,190.4720163,42101,47,1,1,0,0,0,1,2,5,4,1,10,1,NA,1,1,0,0,12,NA,42.5,0,1,0,0,"cbd",0,1,1,0
2435040102,"bus_subway_trolley",243504,1,"Bus / trolleybus",48,1035,19.327,22.84,3.513,2,1,2,4,4,19,NA,14,5,1.17,106.9764022,91.43282236,3,2,10,988,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,12,NA,190.4720163,42101,47,1,1,0,0,0,1,2,5,4,1,10,1,NA,1,1,0,0,12,NA,42.5,0,1,0,0,"cbd",0,1,1,0
2435040103,"bus_subway_trolley",243504,1,"Bus / trolleybus",1035,47,28.085,30.992,2.906,2,1,3,4,1,12,NA,14,5,1.17,106.9764022,91.43282236,3,2,10,988,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,3,12,NA,190.4720163,42101,47,1,1,0,0,0,1,2,5,4,1,10,1,NA,1,1,0,0,12,NA,42.5,0,1,0,0,"cbd",0,1,1,0
2526520102,"bus_subway_trolley",252652,1,"Bus / trolleybus",2609,12238,64.381,67.64,3.258,2,1,2,4,4,8,NA,14,5,1.17,148.4793118,126.9053947,5,1,8,988,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,NA,228.4384878,42101,2603,3,1,0,0,0,0,2,2,2,0,8,0,NA,0,0,0,0,3,NA,17.5,1,1,0,0,"urban",0,1,1,0
2526520103,"bus_subway_trolley",252652,1,"Bus / trolleybus",12238,93,62.6,61.975,-0.625,2,1,3,4,4,8,NA,14,5,1.17,148.4793118,126.9053947,5,1,8,988,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,3,3,NA,228.4384878,42101,2603,3,1,0,0,0,0,2,2,2,0,8,0,NA,0,0,0,0,3,NA,17.5,1,1,0,0,"urban",0,1,1,0
