"record_id","person_id","journey_id","trip_num","mode","rr_role","depart_time","depart_min_of_day","depart_lon","depart_lat","dest_lon","dest_lat","o_county","d_county","peak_period","is_peak","survey_travtime","model_travtime"
3892120202,38921202,18531,2,22,"rail_leg","17:00",1020,-75.1691139313301,39.9535949564727,-75.1256172805438,40.0721167066709,42101,42091,"pm_peak",TRUE,35,34.33498
3898250104,38982501,18688,4,22,"rail_leg","17:05",1025,-75.1588750233838,39.9528401835985,-75.1505658415867,39.9464361327538,42101,42101,"pm_peak",TRUE,70,14.243982
3947730201,39477302,19693,1,22,"rail_leg","7:00",420,-75.3005464116087,40.0904763752531,-75.1706866571216,39.953785415184,42091,42101,"am_peak",TRUE,50,70.058423
3947730202,39477302,19694,2,22,"rail_leg","17:05",1025,-75.1706866571216,39.953785415184,-75.3005464116087,40.0904763752531,42101,42091,"pm_peak",TRUE,65,69.131219
3952890102,39528901,19775,2,22,"rail_leg","7:15",435,-75.3862490558174,39.9062101361711,-75.1928742171467,39.9459041130135,42045,42101,"am_peak",TRUE,23,32.38735
3952890105,39528901,19776,5,22,"rail_leg","17:28",1048,-75.1928742171467,39.9459041130135,-75.3862490558174,39.9062101361711,42101,42045,"pm_peak",TRUE,25,32.963278
3956070101,39560701,19836,1,22,"rail_leg","7:30",450,-75.2473767570295,40.0956050286212,-75.1505658415867,39.9464361327538,42091,42101,"am_peak",TRUE,60,79.000509
3966570202,39665702,20014,2,22,"rail_leg","11:40",700,-75.0970591119887,40.1962393455377,-75.2318795104928,39.8804695206274,42017,42101,"off_peak",FALSE,80,110.429224
4004890302,40048903,20655,2,22,"rail_leg","8:06",486,-75.3460361638143,40.1143423687777,-75.1480260525691,39.9820906148628,42091,42101,"am_peak",TRUE,39,36.455461
4004890304,40048903,20655,4,22,"rail_leg","17:16",1036,-75.1446587384151,39.9502859178682,-75.2783533552924,39.9575793577259,42101,42045,"pm_peak",TRUE,44,37.642814
4012760103,40127601,20788,3,22,"rail_leg","7:46",466,-75.1947508247048,40.0550864009275,-75.1648345113326,39.9541020155151,42101,42101,"am_peak",TRUE,32,40.20071
4012760106,40127601,20789,6,22,"rail_leg","17:18",1038,-75.1648345113326,39.9541020155151,-75.1947508247048,40.0550864009275,42101,42101,"pm_peak",TRUE,32,37.838678
4012760203,40127602,20794,3,22,"rail_leg","7:42",462,-75.1947508247048,40.0550864009275,-75.1648345113326,39.9541020155151,42101,42101,"am_peak",TRUE,36,40.20071
4012760206,40127602,20795,6,22,"rail_leg","17:16",1036,-75.1648345113326,39.9541020155151,-75.1947508247048,40.0550864009275,42101,42101,"pm_peak",TRUE,34,37.838678
4013690102,40136901,20851,2,22,"rail_leg","8:06",486,-75.4630660144789,40.0474160739304,-75.1834073455283,39.9599979498596,42029,42101,"am_peak",TRUE,32,41.533301
4013690103,40136901,20851,3,14,"feeder_leg","8:40",520,-75.1834073455283,39.9599979498596,-75.1834073455283,39.9599979498596,42101,42101,"am_peak",TRUE,1,4.598742
4013690106,40136901,20852,6,21,"feeder_leg","16:01",961,-75.1906300416804,39.958024348983,-75.1834073455283,39.9599979498596,42101,42101,"pm_peak",TRUE,4,13.234685
4013690108,40136901,20852,8,22,"rail_leg","16:15",975,-75.1834073455283,39.9599979498596,-75.4630660144789,40.0474160739304,42101,42029,"pm_peak",TRUE,35,42.752855
4013690301,40136903,20866,1,22,"rail_leg","12:00",720,-75.4630660144789,40.0474160739304,-75.1906300416804,39.958024348983,42029,42101,"off_peak",FALSE,60,52.702052
4020640202,40206402,21027,2,22,"rail_leg","7:49",469,-75.1325211942729,40.0941668713503,-75.1928742171467,39.9459041130135,42091,42101,"am_peak",TRUE,33,48.660586
4020640205,40206402,21028,5,22,"rail_leg","17:13",1033,-75.1834073455283,39.9599979498596,-75.7773113001476,39.9924677984963,42101,42029,"pm_peak",TRUE,52,84.546441
4050800101,40508001,21622,1,22,"rail_leg","8:35",515,-75.1822218287983,40.0542278772892,-75.2100224563071,39.9560134286816,42101,42101,"am_peak",TRUE,10,53.723828
4050800104,40508001,21625,4,22,"rail_leg","16:35",995,-75.2100224563071,39.9560134286816,-75.1822218287983,40.0542278772892,42101,42101,"pm_peak",TRUE,40,58.729375
4056480101,40564801,21742,1,22,"rail_leg","7:20",440,-75.180637080064,39.9501303685435,-75.2994747363044,40.2251091301749,42101,42091,"am_peak",TRUE,90,93.493596
4056480102,40564801,21743,2,22,"rail_leg","18:00",1080,-75.2994747363044,40.2251091301749,-75.1611907875754,39.9477574019743,42091,42101,"pm_peak",TRUE,105,82.481336
4061050101,40610501,21772,1,22,"rail_leg","8:25",505,-75.1827055398227,40.0389450998406,-75.1545851492175,39.9813757258968,42101,42101,"am_peak",TRUE,51,34.286277
4061050104,40610501,21775,4,22,"rail_leg","15:15",915,-75.1545851492175,39.9813757258968,-75.1827055398227,40.0389450998406,42101,42101,"off_peak",FALSE,55,39.121714
4072680102,40726801,21995,2,22,"rail_leg","7:48",468,-75.1898142834651,40.0518717143354,-75.1834073455283,39.9599979498596,42101,42101,"am_peak",TRUE,21,28.394925
4072680105,40726801,21996,5,22,"rail_leg","17:24",1044,-75.1834073455283,39.9599979498596,-75.1898142834651,40.0518717143354,42101,42101,"pm_peak",TRUE,22,28.170533
4094470101,40944701,22361,1,22,"rail_leg","6:10",370,-75.3008610836775,39.9087719876414,-75.1917667584469,39.9649367058634,42045,42101,"am_peak",TRUE,NA,67.634854
4094470102,40944701,22362,2,22,"rail_leg","16:00",960,-75.1917667584469,39.9649367058634,-75.3008610836775,39.9087719876414,42101,42045,"pm_peak",TRUE,35,68.510736
4100840202,41008402,22442,2,22,"rail_leg","7:08",428,-75.1648345113326,39.9541020155151,-75.274466211559,40.2111841677703,42101,42091,"am_peak",TRUE,55,58.23792
4100840205,41008402,22444,5,22,"rail_leg","17:26",1046,-75.274466211559,40.2111841677703,-75.1648345113326,39.9541020155151,42091,42101,"pm_peak",TRUE,51,56.496517
4131100102,41311001,22922,2,22,"rail_leg","7:05",425,-75.1588750233838,39.9528401835985,-75.4829079089365,40.0451966969818,42101,42029,"am_peak",TRUE,57,49.482246
4131100105,41311001,22923,5,22,"rail_leg","17:40",1060,-75.4996994737956,40.0522494273571,-75.4996994737956,40.0522494273571,42029,42029,"pm_peak",TRUE,65,16.012285
4184310104,41843101,23864,4,22,"rail_leg","8:16",496,-75.1834073455283,39.9599979498596,-75.3045400928903,40.0162243322963,42101,42091,"am_peak",TRUE,24,31.975394
4184310106,41843101,23865,6,22,"rail_leg","16:55",1015,-75.3195257705183,40.0049815590517,-75.1834073455283,39.9599979498596,42045,42101,"pm_peak",TRUE,20,47.441317
4195770402,41957704,24072,2,21,"feeder_leg","14:40",880,-74.9853265543148,40.0477525065309,-75.1612826317197,39.9532127364358,42101,42101,"off_peak",FALSE,20,52.235668
4195770403,41957704,24072,3,22,"rail_leg","20:05",1205,-75.1612826317197,39.9532127364358,-75.1612826317197,39.9532127364358,42101,42101,"off_peak",FALSE,30,4.127778
4218280102,42182801,24369,2,22,"rail_leg","16:30",990,-75.1619465866814,40.0435075759518,-74.9919645563739,40.0557019160434,42101,42101,"pm_peak",TRUE,105,58.376659
4218280202,42182802,24373,2,22,"rail_leg","16:45",1005,-75.2239722514315,39.9735103886618,-75.1571977835929,40.0823045185899,42101,42091,"pm_peak",TRUE,195,68.114512
4222850102,42228501,24496,2,22,"rail_leg","7:10",430,-75.1531176077862,40.0998645962702,-75.1612826317197,39.9532127364358,42091,42101,"am_peak",TRUE,35,32.722228
4222850103,42228501,24496,3,22,"rail_leg","17:00",1020,-75.1612826317197,39.9532127364358,-75.1470888942105,40.1018399351912,42101,42091,"pm_peak",TRUE,45,40.670869
4238580101,42385801,24804,1,22,"rail_leg","6:45",405,-74.9200693290363,40.2495112723629,-75.1470807570054,39.9513767444736,42017,42101,"am_peak",TRUE,NA,164.461647
4257160402,42571604,25190,2,22,"rail_leg","10:26",626,-75.6088161729411,40.0119718537478,-75.3686666885444,40.0437004752317,42029,42045,"off_peak",FALSE,22,61.993799
4257160404,42571604,25191,4,22,"rail_leg","22:48",1368,-75.3756545846891,40.0397732711601,-75.6337083421153,40.0217938558134,42045,42029,"off_peak",FALSE,22,48.866667
4265560201,42655602,25346,1,22,"rail_leg","7:30",450,-75.1960123668417,40.1175958626256,-75.1840170635385,39.9534784074457,42091,42101,"am_peak",TRUE,45,56.513476
4265560202,42655602,25347,2,22,"rail_leg","17:00",1020,-75.1840170635385,39.9534784074457,-75.1960123668417,40.1175958626256,42101,42091,"pm_peak",TRUE,420,59.002455
4274300202,42743002,25455,2,22,"rail_leg","5:45",345,-75.3195257705183,40.0049815590517,-75.1572994746159,39.95264251715,42045,42101,"off_peak",FALSE,26,47.679946
4274300205,42743002,25456,5,22,"rail_leg","15:39",939,-75.1550139436622,39.9445812882334,-75.1550139436622,39.9445812882334,42101,42101,"off_peak",FALSE,43,4.963316
4326800101,43268001,26414,1,22,"rail_leg","9:00",540,-75.32300735391,39.8834623757826,-75.1634808483634,39.9480403151119,42045,42101,"am_peak",TRUE,57,44.128499
4326800104,43268001,26417,4,22,"rail_leg","17:45",1065,-75.1634808483634,39.9480403151119,-75.32300735391,39.8834623757826,42101,42045,"pm_peak",TRUE,57,41.609277
4342350303,43423503,26742,3,22,"rail_leg","17:58",1078,-75.1648345113326,39.9541020155151,-75.1840657845611,40.0625876496449,42101,42101,"pm_peak",TRUE,27,29.301735
4343900104,43439001,26760,4,22,"rail_leg","17:11",1031,-75.1648345113326,39.9541020155151,-75.1701604201666,39.9562259742499,42101,42101,"pm_peak",TRUE,29,6.655389
4432040101,44320401,28012,1,22,"rail_leg","5:45",345,-75.4146997575914,39.8197080832525,-75.1638872349499,39.9525548857932,42045,42101,"off_peak",FALSE,45,47.853215
4433830102,44338301,28041,2,22,"rail_leg","6:10",370,-75.0108885726665,40.1294791274976,-75.1588750233838,39.9528401835985,42101,42101,"am_peak",TRUE,36,41.906429
4438760102,44387601,28191,2,22,"rail_leg","8:12",492,-75.0826616926931,40.0770283629367,-75.1648345113326,39.9541020155151,42101,42101,"am_peak",TRUE,39,39.079056
4438760105,44387601,28192,5,22,"rail_leg","17:37",1057,-75.1648345113326,39.9541020155151,-75.1701604201666,39.9562259742499,42101,42101,"pm_peak",TRUE,13,6.655389
4438760202,44387602,28194,2,22,"rail_leg","6:17",377,-75.0826616926931,40.0770283629367,-75.1588750233838,39.9528401835985,42101,42101,"am_peak",TRUE,26,33.451919
4525240102,45252401,29572,2,22,"rail_leg","7:49",469,-75.024985845551,40.0240077180509,-75.1588750233838,39.9528401835985,42101,42101,"am_peak",TRUE,26,35.196632
4525240108,45252401,29576,8,22,"rail_leg","18:14",1094,-75.1588750233838,39.9528401835985,-75.024985845551,40.0240077180509,42101,42101,"pm_peak",TRUE,30,33.194113
4525240202,45252402,29578,2,22,"rail_leg","7:49",469,-75.024985845551,40.0240077180509,-75.1834073455283,39.9599979498596,42101,42101,"am_peak",TRUE,18,26.723519
4525240205,45252402,29579,5,22,"rail_leg","16:25",985,-75.1834073455283,39.9599979498596,-75.024985845551,40.0240077180509,42101,42101,"pm_peak",TRUE,24,25.839392
4539000101,45390001,29825,1,22,"rail_leg","6:30",390,-75.264024817629,40.0095105446103,-75.1580149724927,39.9493530835764,42091,42101,"am_peak",TRUE,20,41.610237
4539000106,45390001,29830,6,22,"rail_leg","17:00",1020,-75.1580149724927,39.9493530835764,-75.264024817629,40.0095105446103,42101,42091,"pm_peak",TRUE,30,43.050427
4543270101,45432701,29922,1,22,"rail_leg","6:15",375,-75.1063906606918,40.0675372749466,-75.1550139436622,39.9445812882334,42091,42101,"am_peak",TRUE,55,53.876913
4543270106,45432701,29927,6,22,"rail_leg","14:00",840,-75.1550139436622,39.9445812882334,-75.1928742171467,39.9459041130135,42101,42101,"off_peak",FALSE,45,29.124184
4543270107,45432701,29928,7,22,"rail_leg","16:17",977,-75.1928742171467,39.9459041130135,-75.1063906606918,40.0675372749466,42101,42091,"pm_peak",TRUE,63,59.159629
